Unnamed: 0,Ticker,Date,Open,High,Low,Close,Adj Close,Volume
0,^NYA,2008-08-01,8438.7099609375,8452.009765625,8356.4296875,8379.150390625,8379.150390625,4684870000.0
1,^IXIC,2008-08-01,2326.830078125,2328.949951171875,2286.409912109375,2310.9599609375,2310.9599609375,2312140000.0
8,^DJI,2008-08-01,11379.8896484375,11425.73046875,11267.0498046875,11326.3203125,11326.3203125,189700000.0
9,^GSPC,2008-08-01,1269.4200439453125,1270.52001953125,1254.5400390625,1260.31005859375,1260.31005859375,4684870000.0
12,^NYA,2008-08-04,8379.16015625,8379.16015625,8253.4501953125,8268.650390625,8268.650390625,4562280000.0
13,^IXIC,2008-08-04,2309.75,2309.75,2280.929931640625,2285.56005859375,2285.56005859375,2010200000.0
20,^DJI,2008-08-04,11326.3203125,11382.169921875,11221.5302734375,11284.150390625,11284.150390625,170250000.0
21,^GSPC,2008-08-04,1253.27001953125,1260.489990234375,1247.449951171875,1249.010009765625,1249.010009765625,4562280000.0
24,^NYA,2008-08-05,8268.7001953125,8471.849609375,8268.7001953125,8471.849609375,8471.849609375,1219310000.0
25,^IXIC,2008-08-05,2308.139892578125,2349.830078125,2303.6298828125,2349.830078125,2349.830078125,2324730000.0
32,^DJI,2008-08-05,11286.01953125,11615.9296875,11286.01953125,11615.76953125,11615.76953125,234990000.0
33,^GSPC,2008-08-05,1254.8699951171875,1284.8800048828125,1254.6700439453125,1284.8800048828125,1284.8800048828125,1219310000.0
36,^NYA,2008-08-06,8471.83984375,8513.8798828125,8418.7998046875,8501.4404296875,8501.4404296875,4873420000.0
37,^IXIC,2008-08-06,2349.169921875,2385.77001953125,2333.530029296875,2378.3701171875,2378.3701171875,2228710000.0
44,^DJI,2008-08-06,11603.6396484375,11685.4599609375,11521.3203125,11656.0703125,11656.0703125,180060000.0
45,^GSPC,2008-08-06,1283.989990234375,1291.6700439453125,1276.0,1289.18994140625,1289.18994140625,4873420000.0
48,^NYA,2008-08-07,8501.7001953125,8501.7001953125,8321.0400390625,8338.400390625,8338.400390625,5319380000.0
49,^IXIC,2008-08-07,2362.7900390625,2386.43994140625,2351.320068359375,2355.72998046875,2355.72998046875,2189120000.0
56,^DJI,2008-08-07,11655.419921875,11655.580078125,11416.7001953125,11431.4296875,11431.4296875,229610000.0
57,^GSPC,2008-08-07,1286.510009765625,1286.510009765625,1264.2900390625,1266.0699462890625,1266.0699462890625,5319380000.0
